date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:39:22	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Sep%202025%2006:39:22%20GMT	https://web.archive.org/robots.txt		(from )
07:39:26	175317/175317	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2006:39:23%20GMT	https://web.archive.org/web/20250408214013/https://jamstash.io/	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013/https_/jamstash.io/index.html	(from )
07:39:29	26452/26452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:28%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=FC38Hc5A	C:/My%20Web%20Sites/Jamstash/web-static.archive.org/_static/js/bundle-playback0e4c.js	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:31	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:28%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/Jamstash/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:33	9868/9868	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/My%20Web%20Sites/Jamstash/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:33	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:24:10%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/Jamstash/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:34	5649/5649	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:23:22%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/Jamstash/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:36	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:39:35%20GMT	https://web.archive.org/web/20250408214013/https://jamstash.io/wp-content/themes/hub/assets/vendors/liquid-icon/lqd-essentials/fonts/lqd-essentials.woff2	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013/https_/jamstash.io/wp-content/themes/hub/assets/vendors/liquid-icon/lqd-essentials/fonts/lqd-essentials.woff2	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:37	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:39:37%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:42	115298/115298	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:39:41%20GMT	https://web.archive.org/web/20250408214108cs_/https://jamstash.io/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214108cs_/https_/jamstash.io/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:39:43%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.4	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/contact-form-7/includes/css/styles.89bd2.delayed	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:48	151055/151055	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2008%20Sep%202025%2006:39:45%20GMT	https://web.archive.org/web/20250408214013/https://jamstash.io/feed/	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013/https_/jamstash.io/feed/index.html	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:49	151082/151082	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2008%20Sep%202025%2006:39:47%20GMT	https://web.archive.org/web/20250408214013/https://jamstash.io/comments/feed/	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013/https_/jamstash.io/comments/feed/index.html	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:50	3491/3491	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:39:48%20GMT	https://web.archive.org/web/20250408214108cs_/https://jamstash.io/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.4	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214108cs_/https_/jamstash.io/wp-content/plugins/contact-form-7/includes/css/styles9bd2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:51	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:39:51%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/themes/hub/assets/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/themes/hub/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:58	52751/52751	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:39:54%20GMT	https://web.archive.org/web/20250408214109cs_/https://jamstash.io/wp-content/themes/hub/assets/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214109cs_/https_/jamstash.io/wp-content/themes/hub/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:39:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:39:57%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/themes/hub/style.css	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/themes/hub/style.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:00	4518/4518	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:39:59%20GMT	https://web.archive.org/web/20250408214111cs_/https://jamstash.io/wp-content/themes/hub/style.css	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214111cs_/https_/jamstash.io/wp-content/themes/hub/style.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:01%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/themes/hub/assets/css/elements/base/typography.css	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/themes/hub/assets/css/elements/base/typography.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:06	949/949	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:03%20GMT	https://web.archive.org/web/20250408214111cs_/https://jamstash.io/wp-content/themes/hub/assets/css/elements/base/typography.css	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214111cs_/https_/jamstash.io/wp-content/themes/hub/assets/css/elements/base/typography.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:06%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.5	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/elementor/assets/css/frontend-lite.min63aa.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:11	119538/119538	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:10%20GMT	https://web.archive.org/web/20250408214111cs_/https://jamstash.io/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.5	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214111cs_/https_/jamstash.io/wp-content/plugins/elementor/assets/css/frontend-lite.min63aa.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:13%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-column.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-columnd6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:15	2071/2071	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:15%20GMT	https://web.archive.org/web/20250408214111cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-column.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214111cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-columnd6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:16%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayoutd6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:21	8358/8358	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:20%20GMT	https://web.archive.org/web/20250408214112cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayout.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214112cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-rowlayoutd6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:29%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-advancedbtn.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-advancedbtnd6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:31	2940/2940	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:31%20GMT	https://web.archive.org/web/20250408214112cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-advancedbtn.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214112cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-advancedbtnd6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:32%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-image.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-imaged6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:34	4272/4272	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:33%20GMT	https://web.archive.org/web/20250408214112cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-image.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214112cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-imaged6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:35	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:35%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-accordion.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-accordiond6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:36	11683/11683	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:36%20GMT	https://web.archive.org/web/20250408214112cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-accordion.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214112cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-accordiond6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:41	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:40%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-testimonials.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-testimonialsd6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:42	11382/11382	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:42%20GMT	https://web.archive.org/web/20250408214113cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-testimonials.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214113cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/dist/style-blocks-testimonialsd6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:43%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks-pro/includes/assets/css/kadence-splide.min.css?ver=2.0.15	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks-pro/includes/assets/css/kadence-splide.min83c1.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:45	9842/9842	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:45%20GMT	https://web.archive.org/web/20250408214113cs_/https://jamstash.io/wp-content/plugins/kadence-blocks-pro/includes/assets/css/kadence-splide.min.css?ver=2.0.15	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214113cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks-pro/includes/assets/css/kadence-splide.min83c1.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:45%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/includes/assets/css/kb-blocks-splide.min.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/includes/assets/css/kb-blocks-splide.mind6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:47	2598/2598	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:46%20GMT	https://web.archive.org/web/20250408214113cs_/https://jamstash.io/wp-content/plugins/kadence-blocks/includes/assets/css/kb-blocks-splide.min.css?ver=3.2.38	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214113cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks/includes/assets/css/kb-blocks-splide.mind6e2.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:48	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2006:40:48%20GMT	https://web.archive.org/web/20250408214013cs_/https://jamstash.io/wp-content/plugins/kadence-blocks-pro/includes/assets/css/aos.min.css?ver=2.0.15	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214013cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks-pro/includes/assets/css/aos.min83c1.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
07:40:52	28871/28871	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2006:40:51%20GMT	https://web.archive.org/web/20250408214113cs_/https://jamstash.io/wp-content/plugins/kadence-blocks-pro/includes/assets/css/aos.min.css?ver=2.0.15	C:/My%20Web%20Sites/Jamstash/web.archive.org/web/20250408214113cs_/https_/jamstash.io/wp-content/plugins/kadence-blocks-pro/includes/assets/css/aos.min83c1.css	(from https://web.archive.org/web/20250408214013/https://jamstash.io/)
